,ARK_Doc6_Airlines-avoid-parts.txt,ARK_Doc7_Why-allowing-pilots.txt,ARK_Doc3_Boeings-737-max.txt,ARK_Doc9_Rex-slams-claims.txt,ARK_Doc10_FAA-reassigns-senior.txt,ARK_Doc1_Boeing-shares-fall.txt,ARK_Doc4_Boeing_373_max.txt,ARK_Doc12_Can-airlines-force.txt,ARK_Doc11_American-airlines-says.txt,ARK_Doc2_Booking-fall-travel.txt,ARK_Doc8_In-recent-airline.txt,ARK_Doc5_NTSB-recent-crashes.txt,imp_value
boeing,0.0,0.0,0.556575887301426,0.0,0.0,0.47477775732860716,0.6014918394732615,0.0,0.0,0.1493559772383048,0.057098167451274356,0.0,0.40969340131054693
plane,0.0,0.04133110660378527,0.0,0.23959414350035713,0.0,0.0,0.41992157495166377,0.20839287530519854,0.10515204105466995,0.41708161657040627,0.0,0.3749605679613799,0.34788728306917543
safety,0.1393439464443472,0.0,0.0,0.4963436734920658,0.2801011048391235,0.07324261299477436,0.0,0.23983726013459292,0.09681473951420891,0.0,0.1761674348383602,0.3452306712373474,0.2720483358982174
flight,0.27168028435580405,0.19476016427032578,0.11770648993829162,0.04032192576756629,0.022754830090358714,0.05355069532926319,0.018845253701147917,0.28056786116004173,0.07078524928482928,0.2526903264496373,0.03220081945547168,0.27535896343046634,0.2678822927745707
airline,0.3396003554447551,0.1391144030502327,0.07847099329219441,0.16128770307026516,0.11377415045179357,0.05355069532926319,0.09422626850573958,0.24549687851503654,0.17696312321207322,0.2526903264496373,0.09660245836641504,0.1835726422869776,0.2331120312694248
pilot,0.0,0.7657876881740004,0.0,0.0,0.03684096209691249,0.08670067537549313,0.0,0.0,0.1719061409534208,0.0,0.26067194620609296,0.18575706590834187,0.18298688091735768
issue,0.054982629065374836,0.0,0.19057142229396676,0.0,0.18420481048456244,0.21675168843873283,0.0,0.0,0.1719061409534208,0.0,0.05213438924121859,0.0,0.18174507657833414
would,0.21993051626149934,0.0,0.0,0.2611311151045401,0.0,0.08670067537549313,0.030511204634520978,0.17034388793879296,0.0,0.045457282900770106,0.0,0.0,0.15361524542613306
aircraft,0.1585327927899458,0.03247080646305042,0.045789946624615704,0.18823147267409288,0.05311223480553892,0.09374483658085402,0.0,0.0,0.04130510715588024,0.13106812339463028,0.11274029362502813,0.18745930176174905,0.15303985891088273
software,0.0,0.0,0.3478599295633913,0.0,0.0,0.18991110293144287,0.1670810665203504,0.0,0.0,0.049785325746101596,0.057098167451274356,0.0,0.14508448670653526
employee,0.0,0.0,0.1391439718253565,0.14299686209029924,0.16139453849878013,0.0,0.0,0.062187511796535186,0.12551568826794557,0.0,0.0,0.0,0.13641831511387434
people,0.0,0.13513900379541183,0.0,0.0,0.18420481048456244,0.043350337687746564,0.0,0.1135625919591953,0.0,0.1363718487023103,0.0,0.18575706590834187,0.1361252797209306
traveler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30563028626460714,0.15421663702168226,0.18350834741556799,0.0,0.0,0.12337330961734591
crash,0.0,0.0,0.15345092548555736,0.0,0.0,0.0,0.1105563278911212,0.0,0.0,0.10980862787110773,0.0,0.17948920149305608,0.1104067878871185
aviation,0.07335657748428973,0.030049899309352198,0.0,0.043549401884613634,0.04915237660688457,0.11567407596243602,0.02035367883418253,0.03787815905668304,0.07645109230093328,0.030324038264619563,0.20866956140396595,0.1982662936304128,0.1078294792301355
could,0.0,0.045046334598470614,0.0,0.0,0.03684096209691249,0.0,0.09153361390356293,0.17034388793879296,0.2292081879378944,0.0,0.10426877848243718,0.0,0.10172174556666234
return,0.0,0.0,0.0,0.0,0.0,0.0,0.12317191839999543,0.0,0.0,0.18350834741556799,0.14030895238591734,0.0,0.09853753471999643
united,0.06021759163151359,0.0,0.0,0.0,0.0,0.0,0.06683242660814016,0.12437502359307037,0.0,0.09957065149220319,0.17129450235382307,0.0,0.09302300651539061
company,0.0,0.0,0.3478599295633913,0.0,0.0,0.09495555146572143,0.23391349312849058,0.0,0.06275784413397278,0.0,0.0,0.08137728826489267,0.0922398988255557
according,0.06021759163151359,0.0,0.0,0.0,0.16139453849878013,0.09495555146572143,0.03341621330407008,0.0,0.0,0.09957065149220319,0.0,0.0,0.08800795949887988
passenger,0.0,0.0,0.0,0.0,0.07368192419382498,0.0,0.0,0.2839064798979883,0.0573020469844736,0.09091456580154021,0.10426877848243718,0.07430282636333675,0.08759221791389953
whether,0.054982629065374836,0.0,0.0,0.0,0.0,0.0,0.061022409269041955,0.05678129597959765,0.1146040939689472,0.09091456580154021,0.0,0.11145423954500512,0.08493613449504057
flying,0.08573987058278335,0.03512261021666822,0.0,0.0,0.02872488435009841,0.0,0.04757914965430571,0.13281706563244247,0.04467838457429576,0.07088605290814368,0.12194749130147095,0.028966942944619288,0.08276910704785542
another,0.0,0.09009266919694123,0.12704761486264451,0.0,0.03684096209691249,0.13005101306323968,0.0,0.0,0.0,0.0,0.05213438924121859,0.037151413181668376,0.08250101320579672
training,0.0,0.0,0.0,0.0,0.0,0.11666848993666852,0.0,0.0,0.0,0.0,0.14030895238591734,0.09998536357754037,0.07998829086203237
going,0.0,0.0,0.07672546274277868,0.0,0.0,0.0,0.0737042185940808,0.0,0.0,0.10980862787110773,0.0,0.08974460074652804,0.07612121391303911
service,0.0,0.0,0.07672546274277868,0.0,0.0,0.0,0.1474084371881616,0.0,0.0692106825578019,0.0,0.125938141968874,0.0,0.07522250670578333
process,0.0,0.04133110660378527,0.0,0.0,0.033802477946012495,0.07954997645216509,0.08398431499033275,0.0,0.052576020527334975,0.0,0.23917284487839316,0.034087324360125446,0.07415518526719908
incident,0.1328184763615208,0.0,0.0,0.07884998732402258,0.04449733067135116,0.0,0.0,0.0,0.0,0.0,0.0,0.13461690111979205,0.07197945599348832
either,0.0,0.0,0.06957198591267826,0.07149843104514962,0.0,0.0,0.03341621330407008,0.12437502359307037,0.0,0.0,0.0,0.12206593239733901,0.07111314201865535
matter,0.0,0.0,0.0,0.07884998732402258,0.13349199201405346,0.0,0.0368521092970404,0.0,0.0,0.0,0.125938141968874,0.0,0.07045041171862618
based,0.0,0.0,0.07672546274277868,0.07884998732402258,0.0,0.0,0.0,0.0,0.0,0.0,0.125938141968874,0.04487230037326402,0.07035483026887576
management,0.0,0.0,0.0,0.08784756503562528,0.198299697069061,0.0,0.0,0.0,0.0,0.0,0.0,0.19997072715508074,0.07027805202850029
office,0.0,0.0,0.08548061080196559,0.0,0.2974495456035915,0.0,0.0,0.0,0.0,0.0,0.0,0.09998536357754037,0.06838448864157254
comment,0.0,0.0,0.06957198591267826,0.07149843104514962,0.1210459038740851,0.0,0.03341621330407008,0.062187511796535186,0.0,0.0,0.0,0.0,0.06809509108944965
system,0.0,0.0,0.058284636923854105,0.05989853587508928,0.033802477946012495,0.15909995290433018,0.0,0.052098218826299635,0.0,0.0,0.14350370692703587,0.06817464872025089,0.06651942615121857
official,0.12043518326302718,0.0,0.0,0.0,0.08069726924939007,0.0,0.06683242660814016,0.062187511796535186,0.06275784413397278,0.0,0.0,0.0,0.06601751011330668
authority,0.12043518326302718,0.0,0.0,0.14299686209029924,0.0,0.0,0.06683242660814016,0.062187511796535186,0.0,0.0,0.0,0.040688644132446335,0.06590344364581917
grounding,0.0,0.0,0.0,0.08784756503562528,0.0,0.0,0.08211461226666363,0.0,0.0,0.18350834741556799,0.0,0.0,0.06569168981333096
march,0.0,0.0,0.08548061080196559,0.0,0.0,0.0,0.08211461226666363,0.0,0.0,0.12233889827704532,0.0,0.0,0.06569168981333096
order,0.06021759163151359,0.0,0.20871595773803478,0.0,0.0,0.0,0.06683242660814016,0.0,0.18827353240191838,0.049785325746101596,0.0,0.0,0.06550945961281485
investigation,0.0,0.0,0.0,0.07149843104514962,0.08069726924939007,0.0,0.03341621330407008,0.0,0.0,0.0,0.22839266980509743,0.040688644132446335,0.06533647366260899
southern,0.0664092381807604,0.0,0.0,0.0,0.0,0.0,0.0,0.06858170795066629,0.0692106825578019,0.05490431393555387,0.0,0.0,0.0641082533317191
group,0.0664092381807604,0.0,0.07672546274277868,0.0,0.0,0.0,0.0,0.0,0.0692106825578019,0.05490431393555387,0.0,0.0,0.0641082533317191
largest,0.0664092381807604,0.0,0.07672546274277868,0.0,0.0,0.0,0.0,0.0,0.0692106825578019,0.05490431393555387,0.0,0.0,0.0641082533317191
maintenance,0.0,0.045046334598470614,0.0,0.06528277877613503,0.14736384838764996,0.0,0.0,0.0,0.1146040939689472,0.0,0.05213438924121859,0.037151413181668376,0.06265310086915175
state,0.0,0.0,0.0,0.07884998732402258,0.0,0.0,0.0368521092970404,0.06858170795066629,0.0,0.0,0.125938141968874,0.0,0.062235788219941135
delay,0.0,0.045046334598470614,0.06352380743132226,0.0,0.0,0.043350337687746564,0.1525560231726049,0.05678129597959765,0.2292081879378944,0.0,0.0,0.0,0.06217530514097734
organization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22922271469845537,0.07710831851084113,0.0,0.0,0.09998536357754037,0.061686654808672955
share,0.0,0.0,0.0,0.0,0.0,0.17500273490500276,0.08211461226666363,0.0,0.07710831851084113,0.0,0.0,0.0,0.061686654808672955
ongoing,0.14797440222982294,0.0,0.08548061080196559,0.0,0.0,0.0,0.0,0.0,0.07710831851084113,0.0,0.0,0.0,0.061686654808672955
might,0.0,0.12123291570739002,0.0,0.0,0.0,0.0,0.0,0.22922271469845537,0.07710831851084113,0.0,0.0,0.0,0.061686654808672955
warning,0.0,0.0,0.08548061080196559,0.0,0.0,0.0,0.0,0.07640757156615179,0.07710831851084113,0.0,0.0,0.0,0.06112605725292148
industry,0.0,0.1088159229331559,0.0,0.0,0.0,0.05235949880277572,0.0,0.0,0.0,0.0,0.062969070984437,0.08974460074652804,0.060847156548104755
change,0.18065277489454076,0.0,0.0,0.0,0.0,0.09495555146572143,0.03341621330407008,0.062187511796535186,0.0,0.049785325746101596,0.0,0.0,0.05970707458644848
cockpit,0.0,0.2176318458663118,0.07672546274277868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062969070984437,0.04487230037326402,0.059349716862202424
raised,0.0,0.0,0.0,0.07884998732402258,0.08899466134270231,0.0,0.0,0.0,0.0,0.0,0.062969070984437,0.04487230037326402,0.059349716862202424
aviation safety,0.0,0.0,0.0,0.07884998732402258,0.0,0.0,0.0,0.06858170795066629,0.0,0.0,0.062969070984437,0.04487230037326402,0.059349716862202424
working,0.0,0.0,0.15345092548555736,0.0,0.04449733067135116,0.0,0.0,0.0,0.1384213651156038,0.0,0.062969070984437,0.0,0.05927472292181985
light,0.07398720111491147,0.0,0.08548061080196559,0.0,0.0,0.0,0.0,0.07640757156615179,0.0,0.0,0.0,0.0,0.05918976089192923
threat,0.07398720111491147,0.0,0.0,0.0,0.0,0.0,0.0,0.07640757156615179,0.07710831851084113,0.0,0.0,0.0,0.05918976089192923
several,0.07398720111491147,0.0,0.17096122160393118,0.08784756503562528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05918976089192923
included,0.07398720111491147,0.0,0.08548061080196559,0.17569513007125057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05918976089192923
customer,0.07398720111491147,0.0,0.17096122160393118,0.0,0.0,0.0,0.16422922453332725,0.0,0.0,0.0,0.0,0.0,0.05918976089192923
government,0.07398720111491147,0.12123291570739002,0.0,0.0,0.0991498485345305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05918976089192923
travel,0.06021759163151359,0.0,0.0,0.0,0.0,0.0,0.0,0.062187511796535186,0.06275784413397278,0.049785325746101596,0.0,0.040688644132446335,0.0581311384544312
american,0.06021759163151359,0.04933525055926193,0.0,0.0,0.0,0.0,0.03341621330407008,0.0,0.5020627530717823,0.19914130298440638,0.0,0.0,0.058041123417063266
general,0.06021759163151359,0.04933525055926193,0.0,0.0,0.08069726924939007,0.047477775732860716,0.0,0.0,0.0,0.0,0.0,0.12206593239733901,0.058041123417063266
first,0.0,0.09009266919694123,0.0,0.0,0.0,0.043350337687746564,0.061022409269041955,0.0,0.0,0.045457282900770106,0.10426877848243718,0.037151413181668376,0.0579093839953876
year,0.0,0.045046334598470614,0.06352380743132226,0.0,0.0,0.0,0.030511204634520978,0.05678129597959765,0.0573020469844736,0.0,0.0,0.07430282636333675,0.05719789678349841
statement,0.06021759163151359,0.0,0.06957198591267826,0.0,0.04034863462469503,0.18991110293144287,0.03341621330407008,0.0,0.0,0.0,0.0,0.0,0.056243800230149896
problem,0.0,0.0,0.0,0.0,0.0,0.0,0.16422922453332725,0.0,0.07710831851084113,0.0,0.07015447619295867,0.0,0.05612358095436699
avoid,0.14797440222982294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18350834741556799,0.07015447619295867,0.0,0.05612358095436699
cannot,0.0,0.0,0.0,0.0,0.0,0.11666848993666852,0.0,0.07640757156615179,0.0,0.0,0.07015447619295867,0.0,0.05612358095436699
billion,0.0,0.0,0.08548061080196559,0.0,0.0,0.0,0.08211461226666363,0.0,0.0,0.0,0.07015447619295867,0.0,0.05612358095436699
commercial,0.0,0.04933525055926193,0.06957198591267826,0.0,0.0,0.0,0.03341621330407008,0.0,0.0,0.0,0.057098167451274356,0.28482050892712435,0.05554558407287188
report,0.0,0.04933525055926193,0.0,0.3574921552257481,0.1210459038740851,0.047477775732860716,0.0,0.0,0.0,0.0,0.057098167451274356,0.0,0.05554558407287188
example,0.0,0.05440796146657795,0.0,0.07884998732402258,0.0,0.0,0.0,0.0,0.0,0.05490431393555387,0.062969070984437,0.0,0.05480504344175868
airplane,0.0,0.05440796146657795,0.0,0.0,0.0,0.05235949880277572,0.0,0.06858170795066629,0.0,0.0,0.0,0.13461690111979205,0.053998268933817505
second,0.0,0.05440796146657795,0.0,0.07884998732402258,0.0,0.05235949880277572,0.0,0.0,0.0,0.05490431393555387,0.0,0.0,0.053998268933817505
operation,0.12043518326302718,0.0,0.0,0.0,0.04034863462469503,0.0,0.0,0.0,0.06275784413397278,0.0,0.057098167451274356,0.040688644132446335,0.05381626278750877
concern,0.12043518326302718,0.0,0.0,0.07149843104514962,0.04034863462469503,0.0,0.0,0.0,0.0,0.0,0.057098167451274356,0.040688644132446335,0.05381626278750877
president,0.0664092381807604,0.0,0.0,0.0,0.0,0.0,0.0,0.06858170795066629,0.0,0.05490431393555387,0.0,0.04487230037326402,0.05289791122309591
decide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13716341590133257,0.1384213651156038,0.05490431393555387,0.0,0.04487230037326402,0.05289791122309591
case,0.0,0.0,0.0,0.0,0.04449733067135116,0.0,0.0,0.06858170795066629,0.0692106825578019,0.05490431393555387,0.0,0.0,0.052822917282713336
number,0.0664092381807604,0.0,0.0,0.07884998732402258,0.04449733067135116,0.0,0.0,0.0,0.0,0.05490431393555387,0.0,0.0,0.052822917282713336
major,0.0,0.05440796146657795,0.0,0.15769997464804517,0.0,0.0,0.0,0.0,0.0692106825578019,0.0,0.0,0.04487230037326402,0.05250082924791517
research,0.0,0.05440796146657795,0.0,0.0,0.0,0.0,0.0737042185940808,0.0,0.0,0.1647129418066616,0.0,0.04487230037326402,0.05250082924791517
without,0.0,0.05440796146657795,0.0,0.0,0.04449733067135116,0.10471899760555144,0.0,0.06858170795066629,0.0,0.0,0.0,0.0,0.0524258353075326
though,0.0664092381807604,0.05440796146657795,0.0,0.0,0.04449733067135116,0.0,0.0,0.0,0.0,0.05490431393555387,0.0,0.0,0.0524258353075326
still,0.0,0.0,0.07672546274277868,0.0,0.0,0.0,0.0368521092970404,0.06858170795066629,0.0,0.05490431393555387,0.0,0.0,0.05129387300785119
