,ARK_Doc6_Airlines-avoid-parts.txt,ARK_Doc7_Why-allowing-pilots.txt,ARK_Doc3_Boeings-737-max.txt,ARK_Doc9_Rex-slams-claims.txt,ARK_Doc10_FAA-reassigns-senior.txt,ARK_Doc1_Boeing-shares-fall.txt,ARK_Doc4_Boeing_373_max.txt,ARK_Doc12_Can-airlines-force.txt,ARK_Doc11_American-airlines-says.txt,ARK_Doc2_Booking-fall-travel.txt,ARK_Doc8_In-recent-airline.txt,ARK_Doc5_NTSB-recent-crashes.txt,imp_value
three,0.0,0.05440796146657795,0.0,0.0,0.08899466134270231,0.0,0.0368521092970404,0.0,0.0,0.0,0.0,0.13461690111979205,0.05089679103267045
country,0.1328184763615208,0.05440796146657795,0.07672546274277868,0.0,0.0,0.0,0.0368521092970404,0.0,0.0,0.0,0.0,0.0,0.05089679103267045
transport,0.0,0.0,0.0,0.0,0.0,0.05235949880277572,0.0,0.13716341590133257,0.1384213651156038,0.0,0.0,0.04487230037326402,0.05086205911687339
agency,0.0,0.05440796146657795,0.0,0.0,0.31148131469945806,0.05235949880277572,0.0,0.0,0.0,0.0,0.0,0.04487230037326402,0.05086205911687339
called,0.0,0.0,0.0,0.07884998732402258,0.08899466134270231,0.05235949880277572,0.0,0.0,0.0,0.0,0.0,0.04487230037326402,0.05086205911687339
focus,0.0,0.0,0.07672546274277868,0.0,0.13349199201405346,0.05235949880277572,0.0,0.0,0.0,0.0,0.0,0.04487230037326402,0.05086205911687339
month,0.0,0.0,0.0,0.0,0.11052288629073745,0.043350337687746564,0.061022409269041955,0.0,0.0,0.045457282900770106,0.05213438924121859,0.037151413181668376,0.0507989679731289
including,0.1328184763615208,0.0,0.0,0.07884998732402258,0.04449733067135116,0.05235949880277572,0.0,0.0,0.0,0.0,0.0,0.0,0.050787065176490814
found,0.0,0.04933525055926193,0.0,0.0,0.08069726924939007,0.18991110293144287,0.0,0.0,0.0,0.049785325746101596,0.0,0.040688644132446335,0.04969531070873366
around world,0.06021759163151359,0.0,0.06957198591267826,0.0,0.0,0.047477775732860716,0.03341621330407008,0.0,0.0,0.049785325746101596,0.0,0.0,0.049323815743453424
ground,0.0,0.0,0.0,0.15769997464804517,0.0,0.05235949880277572,0.0368521092970404,0.0,0.0692106825578019,0.0,0.0,0.0,0.04925802090162867
close,0.06021759163151359,0.04933525055926193,0.0,0.07149843104514962,0.0,0.047477775732860716,0.03341621330407008,0.0,0.0,0.0,0.0,0.0,0.048963755593981695
ethiopian,0.0,0.0,0.08548061080196559,0.0,0.0,0.0,0.0,0.0,0.0,0.06116944913852266,0.07015447619295867,0.0,0.04893555931081817
labor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2313249555325234,0.06116944913852266,0.07015447619295867,0.0,0.04893555931081817
regulator,0.0,0.0,0.0,0.0,0.0,0.4083397147783398,0.0,0.0,0.0,0.06116944913852266,0.07015447619295867,0.0,0.04893555931081817
grounded,0.0,0.0,0.0,0.0,0.0,0.11666848993666852,0.08211461226666363,0.0,0.0,0.06116944913852266,0.0,0.0,0.04893555931081817
future,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07640757156615179,0.0,0.06116944913852266,0.07015447619295867,0.0,0.04893555931081817
route,0.2219616033447344,0.0,0.0,0.08784756503562528,0.0,0.0,0.0,0.0,0.0,0.06116944913852266,0.0,0.0,0.04893555931081817
different,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07640757156615179,0.0,0.06116944913852266,0.0,0.09998536357754037,0.04893555931081817
california,0.0,0.12123291570739002,0.0,0.0,0.0,0.0,0.0,0.07640757156615179,0.0,0.06116944913852266,0.0,0.0,0.04893555931081817
worked,0.0,0.0,0.08548061080196559,0.0,0.0,0.0,0.0,0.0,0.0,0.06116944913852266,0.07015447619295867,0.0,0.04893555931081817
medium,0.0,0.0,0.08548061080196559,0.0,0.0,0.0,0.0,0.07640757156615179,0.0,0.06116944913852266,0.0,0.0,0.04893555931081817
member,0.0,0.06061645785369501,0.0,0.0,0.0,0.0,0.0,0.07640757156615179,0.15421663702168226,0.0,0.0,0.0,0.04849316628295605
others,0.0,0.06061645785369501,0.0,0.0,0.0,0.0,0.0,0.15281514313230357,0.0,0.0,0.07015447619295867,0.0,0.04849316628295605
possible,0.07398720111491147,0.06061645785369501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07015447619295867,0.0,0.04849316628295605
especially,0.0,0.06061645785369501,0.0,0.0,0.0,0.0,0.0,0.07640757156615179,0.0,0.06116944913852266,0.0,0.0,0.04849316628295605
likely,0.0,0.06061645785369501,0.0,0.0,0.0,0.0,0.20528653066665906,0.0,0.0,0.06116944913852266,0.0,0.0,0.04849316628295605
theyll,0.0,0.06061645785369501,0.0,0.0,0.0,0.0,0.0,0.07640757156615179,0.0,0.06116944913852266,0.0,0.0,0.04849316628295605
international,0.0,0.06061645785369501,0.0,0.0,0.0,0.3500054698100055,0.0,0.0,0.15421663702168226,0.0,0.0,0.0,0.04849316628295605
commercial airline,0.0,0.06061645785369501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07015447619295867,0.14997804536631057,0.04849316628295605
schedule,0.07398720111491147,0.06061645785369501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12233889827704532,0.0,0.0,0.04849316628295605
world,0.04644798214811573,0.0,0.05366336102339093,0.0,0.0,0.03662130649738718,0.025775120474808358,0.047967452026918586,0.048407369757104454,0.03840120235368054,0.04404185870959005,0.0,0.04766355805115802
getting,0.0,0.04933525055926193,0.0,0.07149843104514962,0.0,0.0,0.03341621330407008,0.062187511796535186,0.0,0.0,0.0,0.040688644132446335,0.047605929273898825
association,0.0,0.0,0.0,0.26354269510687583,0.0,0.05833424496833426,0.0,0.0,0.2313249555325234,0.0,0.0,0.0,0.04666739597466745
certification,0.0,0.0,0.0,0.0,0.0,0.05833424496833426,0.12317191839999543,0.0,0.0,0.0,0.07015447619295867,0.0,0.04666739597466745
director,0.0,0.0,0.0,0.0,0.0,0.05833424496833426,0.08211461226666363,0.07640757156615179,0.0,0.0,0.0,0.0,0.04666739597466745
added,0.14797440222982294,0.0,0.0,0.0,0.0,0.05833424496833426,0.0,0.0,0.0,0.06116944913852266,0.0,0.0,0.04666739597466745
federal,0.04286993529139167,0.03512261021666822,0.0,0.0,0.02872488435009841,0.03380024206052402,0.04757914965430571,0.0,0.08935676914859152,0.03544302645407184,0.040649163767156986,0.08690082883385786,0.046637306781722905
recently,0.0,0.04933525055926193,0.0,0.0,0.04034863462469503,0.047477775732860716,0.0,0.062187511796535186,0.0,0.0,0.0,0.040688644132446335,0.04611994941277785
since,0.04644798214811573,0.03805404326482886,0.0,0.0,0.03112234498212483,0.10986391949216154,0.025775120474808358,0.0,0.048407369757104454,0.03840120235368054,0.04404185870959005,0.0,0.045966757460410596
around,0.1649478871961245,0.0,0.06352380743132226,0.0,0.0,0.043350337687746564,0.030511204634520978,0.0,0.0,0.045457282900770106,0.0,0.037151413181668376,0.04503589385816539
continue,0.0664092381807604,0.0,0.0,0.0,0.04449733067135116,0.0,0.0,0.0,0.0,0.0,0.062969070984437,0.04487230037326402,0.04479730643288145
landing,0.0,0.1088159229331559,0.0,0.07884998732402258,0.04449733067135116,0.0,0.0,0.0,0.0,0.0,0.0,0.04487230037326402,0.04479730643288145
accident,0.0,0.05440796146657795,0.0,0.0,0.0,0.0,0.0368521092970404,0.0,0.0,0.0,0.44078349689105906,0.04487230037326402,0.0432682621580193
effort,0.0664092381807604,0.0,0.0,0.0,0.0,0.0,0.0368521092970404,0.0,0.0,0.0,0.062969070984437,0.04487230037326402,0.0432682621580193
additional,0.0,0.0,0.0,0.0,0.0,0.10471899760555144,0.0368521092970404,0.0,0.0,0.0,0.062969070984437,0.04487230037326402,0.0432682621580193
potential,0.0,0.0,0.0,0.0,0.04449733067135116,0.10471899760555144,0.0368521092970404,0.0,0.0,0.0,0.188907212953311,0.0,0.04296828639648901
carrier,0.12043518326302718,0.0,0.0,0.0,0.04034863462469503,0.0,0.03341621330407008,0.18656253538960554,0.0,0.0,0.0,0.040688644132446335,0.04062064223089608
investigator,0.0,0.06061645785369501,0.0,0.0,0.0991498485345305,0.0,0.0,0.0,0.0,0.0,0.0,0.049992681788770185,0.03999414543101618
decide whether,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07710831851084113,0.06116944913852266,0.0,0.049992681788770185,0.03999414543101618
taken,0.07398720111491147,0.06061645785369501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049992681788770185,0.03999414543101618
cause,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07640757156615179,0.0,0.0,0.07015447619295867,0.049992681788770185,0.03999414543101618
risk,0.0,0.0,0.0,0.0,0.0,0.05833424496833426,0.0,0.0,0.0,0.0,0.210463428578876,0.049992681788770185,0.03999414543101618
required,0.07398720111491147,0.06061645785369501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049992681788770185,0.03999414543101618
later,0.0,0.06061645785369501,0.0,0.0,0.0,0.0,0.0,0.07640757156615179,0.0,0.0,0.0,0.049992681788770185,0.03999414543101618
business,0.0,0.0,0.08548061080196559,0.0,0.0,0.0,0.08211461226666363,0.0,0.0,0.0,0.0,0.049992681788770185,0.03999414543101618
ultimately,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07710831851084113,0.0,0.07015447619295867,0.049992681788770185,0.03999414543101618
reason,0.07398720111491147,0.0,0.0,0.0,0.0,0.0,0.0,0.07640757156615179,0.0,0.0,0.0,0.049992681788770185,0.03999414543101618
procedure,0.0,0.18184937356108502,0.0,0.0,0.0991498485345305,0.0,0.0,0.0,0.0,0.0,0.0,0.049992681788770185,0.03999414543101618
probably,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07640757156615179,0.07710831851084113,0.0,0.0,0.049992681788770185,0.03999414543101618
operator,0.2219616033447344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06116944913852266,0.0,0.049992681788770185,0.03999414543101618
perhaps,0.0,0.06061645785369501,0.0,0.0,0.0,0.0,0.0,0.0,0.07710831851084113,0.0,0.0,0.049992681788770185,0.03999414543101618
spokesman,0.0,0.0,0.08548061080196559,0.0,0.14872477280179575,0.0,0.0,0.0,0.0,0.0,0.0,0.049992681788770185,0.03999414543101618
approach,0.0,0.0,0.0,0.08784756503562528,0.04957492426726525,0.0,0.0,0.0,0.0,0.0,0.0,0.049992681788770185,0.03965993941381223
among,0.0,0.0,0.0,0.0,0.04957492426726525,0.05833424496833426,0.0,0.0,0.0,0.0,0.0,0.049992681788770185,0.03965993941381223
allowed,0.0,0.12123291570739002,0.0,0.0,0.04957492426726525,0.0,0.0,0.22922271469845537,0.0,0.0,0.0,0.0,0.03965993941381223
carry,0.0,0.0,0.0,0.0,0.04957492426726525,0.0,0.0,0.07640757156615179,0.0,0.0,0.0,0.049992681788770185,0.03965993941381223
action,0.07398720111491147,0.0,0.0,0.0,0.04957492426726525,0.0,0.0,0.0,0.0,0.0,0.210463428578876,0.0,0.03965993941381223
civil,0.2219616033447344,0.0,0.0,0.08784756503562528,0.04957492426726525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03965993941381223
decade,0.0,0.0,0.08548061080196559,0.0,0.04957492426726525,0.0,0.0,0.0,0.0,0.0,0.14030895238591734,0.0,0.03965993941381223
planned,0.0,0.0,0.0,0.0,0.04957492426726525,0.05833424496833426,0.0,0.0,0.0,0.06116944913852266,0.0,0.0,0.03965993941381223
impact,0.0,0.0,0.0,0.0,0.04957492426726525,0.0,0.0,0.07640757156615179,0.0,0.0,0.07015447619295867,0.0,0.03965993941381223
separate,0.07398720111491147,0.0,0.0,0.0,0.04957492426726525,0.05833424496833426,0.0,0.0,0.0,0.0,0.0,0.0,0.03965993941381223
operational,0.07398720111491147,0.0,0.0,0.0,0.04957492426726525,0.0,0.0,0.0,0.0,0.0,0.0,0.049992681788770185,0.03965993941381223
morning,0.2959488044596459,0.0,0.0,0.0,0.04957492426726525,0.0,0.0,0.0,0.07710831851084113,0.0,0.0,0.0,0.03965993941381223
public,0.0,0.12123291570739002,0.0,0.0,0.04957492426726525,0.0,0.0,0.0,0.0,0.0,0.0,0.049992681788770185,0.03965993941381223
looking,0.0,0.0,0.0,0.0,0.04957492426726525,0.0,0.08211461226666363,0.0,0.0,0.0,0.0,0.09998536357754037,0.03965993941381223
earlier,0.07398720111491147,0.06061645785369501,0.0,0.0,0.04957492426726525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03965993941381223
federal aviation,0.04286993529139167,0.03512261021666822,0.0,0.0,0.02872488435009841,0.03380024206052402,0.023789574827152854,0.0,0.04467838457429576,0.03544302645407184,0.040649163767156986,0.028966942944619288,0.03960793630453996
aviation administration,0.04286993529139167,0.03512261021666822,0.0,0.0,0.02872488435009841,0.03380024206052402,0.023789574827152854,0.0,0.04467838457429576,0.03544302645407184,0.040649163767156986,0.028966942944619288,0.03960793630453996
administration,0.04286993529139167,0.03512261021666822,0.0,0.0,0.02872488435009841,0.03380024206052402,0.023789574827152854,0.0,0.04467838457429576,0.03544302645407184,0.040649163767156986,0.028966942944619288,0.03960793630453996
federal aviation administration,0.04286993529139167,0.03512261021666822,0.0,0.0,0.02872488435009841,0.03380024206052402,0.023789574827152854,0.0,0.04467838457429576,0.03544302645407184,0.040649163767156986,0.028966942944619288,0.03960793630453996
priority,0.07398720111491147,0.0,0.0,0.0,0.04957492426726525,0.0,0.04105730613333181,0.0,0.0,0.0,0.0,0.0,0.03284584490666548
early,0.0,0.0,0.0,0.0,0.04957492426726525,0.0,0.04105730613333181,0.0,0.07710831851084113,0.0,0.0,0.0,0.03284584490666548
aerospace,0.0,0.0,0.0,0.0,0.0,0.0,0.04105730613333181,0.07640757156615179,0.15421663702168226,0.0,0.0,0.0,0.03284584490666548
point,0.0,0.0,0.0,0.08784756503562528,0.0,0.0,0.04105730613333181,0.0,0.0,0.0,0.0,0.049992681788770185,0.03284584490666548
already,0.07398720111491147,0.0,0.0,0.0,0.0,0.0,0.04105730613333181,0.0,0.0,0.06116944913852266,0.0,0.0,0.03284584490666548
doesnt,0.0,0.0,0.0,0.0,0.0,0.0,0.04105730613333181,0.0,0.07710831851084113,0.06116944913852266,0.0,0.0,0.03284584490666548
united state,0.0,0.0,0.0,0.0,0.0,0.0,0.04105730613333181,0.07640757156615179,0.0,0.0,0.14030895238591734,0.0,0.03284584490666548
make,0.0,0.12123291570739002,0.0,0.0,0.0,0.0,0.04105730613333181,0.0,0.0,0.0,0.0,0.049992681788770185,0.03284584490666548
southwest,0.0,0.0,0.0,0.0,0.44617431840538724,0.0,0.04105730613333181,0.0,0.0,0.36701669483113597,0.0,0.0,0.03284584490666548
arent,0.0,0.0,0.0,0.0,0.0,0.0,0.04105730613333181,0.07640757156615179,0.07710831851084113,0.0,0.0,0.0,0.03284584490666548
least,0.0,0.0,0.0,0.0,0.0,0.0,0.04105730613333181,0.07640757156615179,0.0,0.06116944913852266,0.0,0.0,0.03284584490666548
seattle,0.0,0.0,0.08548061080196559,0.0,0.0,0.0,0.04105730613333181,0.0,0.0,0.06116944913852266,0.0,0.0,0.03284584490666548
canceled,0.0,0.0,0.0,0.0,0.0,0.0,0.04105730613333181,0.0,0.07710831851084113,0.06116944913852266,0.0,0.0,0.03284584490666548
journal,0.0,0.0,0.0,0.0,0.04957492426726525,0.05833424496833426,0.04105730613333181,0.0,0.0,0.0,0.0,0.0,0.03284584490666548
familiar,0.0,0.0,0.0,0.08784756503562528,0.2478746213363262,0.0,0.04105730613333181,0.0,0.0,0.0,0.0,0.0,0.03284584490666548
following,0.14797440222982294,0.0,0.0,0.0,0.0,0.0,0.04105730613333181,0.0,0.0,0.0,0.0,0.049992681788770185,0.03284584490666548
certain,0.07398720111491147,0.0,0.0,0.0,0.0,0.0,0.04105730613333181,0.0,0.0,0.0,0.07015447619295867,0.0,0.03284584490666548
fleet,0.0,0.0,0.0,0.26354269510687583,0.0,0.0,0.04105730613333181,0.0,0.0,0.24467779655409064,0.0,0.0,0.03284584490666548
supply,0.07398720111491147,0.0,0.08548061080196559,0.0,0.0,0.0,0.04105730613333181,0.0,0.0,0.0,0.0,0.0,0.03284584490666548
street journal,0.0,0.0,0.0,0.0,0.04957492426726525,0.05833424496833426,0.04105730613333181,0.0,0.0,0.0,0.0,0.0,0.03284584490666548
street,0.0,0.0,0.0,0.0,0.04957492426726525,0.05833424496833426,0.04105730613333181,0.0,0.0,0.0,0.0,0.0,0.03284584490666548
come,0.07398720111491147,0.0,0.0,0.0,0.0,0.0,0.04105730613333181,0.0,0.07710831851084113,0.0,0.0,0.0,0.03284584490666548
failure,0.0,0.0,0.0,0.0,0.04957492426726525,0.0,0.04105730613333181,0.0,0.0,0.0,0.07015447619295867,0.0,0.03284584490666548
