"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2009","Nationals","2401","6273","156","710","685","73","9.8 %","19.3 %",".148",".302",".258",".337",".406",".327","96","-5.7","-37.9","-6.3","15.7"
"2009","Cubs","2343","6244","161","707","678","56","9.5 %","19.0 %",".152",".296",".255",".332",".407",".324","90","-13.2","-89.3","45.9","15.7"
"2006","Giants","2313","6136","163","746","711","58","8.1 %","14.5 %",".163",".282",".259",".324",".422",".320","88","-15.8","-116.2","73.5","15.7"
"2012","Twins","2271","6209","131","701","666","135","8.1 %","17.2 %",".130",".298",".260",".325",".390",".313","95","-1.2","-34.4","-22.1","15.7"
"2011","Giants","2370","6091","121","570","534","85","7.4 %","18.4 %",".126",".281",".242",".303",".368",".295","88","-6.5","-87.9","46.0","15.6"
"2014","Braves","2252","6064","123","573","545","95","7.8 %","22.6 %",".119",".298",".241",".305",".360",".296","86","-5.2","-99.7","61.7","15.6"
"2008","White Sox","2298","6231","235","811","785","67","8.7 %","16.3 %",".185",".281",".263",".332",".448",".339","101","-27.4","-17.7","-39.4","15.6"
"2004","Reds","2361","6278","194","750","713","77","9.5 %","21.3 %",".168",".295",".250",".331",".418",".326","92","-9.3","-77.5","25.6","15.6"
"2009","Athletics","2306","6247","135","759","723","133","8.4 %","16.7 %",".135",".298",".262",".328",".397",".320","94","12.8","-38.0","-20.3","15.5"
"2007","Reds","2383","6332","204","783","747","97","8.5 %","17.6 %",".170",".298",".267",".335",".436",".335","94","-7.2","-58.3","8.4","15.5"
"2011","Blue Jays","2265","6210","186","743","704","131","8.5 %","19.1 %",".164",".283",".249",".317",".413",".319","97","12.1","-11.6","-42.2","15.5"
"2012","Pirates","2360","6014","170","651","620","73","7.4 %","22.5 %",".152",".291",".243",".304",".395",".304","91","1.2","-66.3","27.5","15.5"
"2010","Nationals","2410","6100","149","655","634","110","8.2 %","20.0 %",".140",".294",".250",".318",".390",".313","90","-11.3","-84.4","44.1","15.5"
"2003","Orioles","2196","6251","152","743","696","89","6.9 %","14.4 %",".138",".293",".267",".323",".405",".317","94","11.0","-38.0","-21.2","15.4"
"2007","Mariners","2338","6209","153","794","754","81","6.3 %","13.9 %",".138",".313",".287",".337",".425",".333","103","-9.6","10.7","-68.4","15.3"
"2007","Rangers","2313","6214","179","816","768","88","8.1 %","19.7 %",".163",".305",".263",".328",".426",".329","94","12.6","-33.4","-26.5","15.1"
"2007","Orioles","2348","6264","142","756","718","144","8.0 %","15.0 %",".141",".302",".272",".333",".412",".327","95","-9.0","-45.2","-17.2","15.1"
"2009","Mets","2377","6159","95","671","631","122","8.5 %","15.1 %",".124",".307",".270",".335",".394",".320","94","-5.4","-48.2","1.0","15.0"
"2011","Nationals","2341","6090","154","624","594","106","7.7 %","21.7 %",".140",".292",".242",".309",".383",".305","89","3.7","-73.4","25.4","14.9"
"2010","White Sox","2212","6118","177","752","710","160","7.6 %","15.1 %",".152",".292",".268",".332",".420",".332","100","-8.1","-7.7","-58.4","14.8"
"2009","Pirates","2195","6058","125","636","612","90","8.2 %","18.9 %",".135",".296",".252",".318",".387",".310","86","-6.2","-113.0","66.3","14.8"
"2011","Braves","2322","6169","173","641","606","77","8.2 %","20.4 %",".144",".284",".243",".308",".387",".306","91","-4.8","-70.5","18.3","14.8"
"2010","Rockies","2379","6265","173","770","741","99","9.3 %","20.3 %",".162",".310",".263",".336",".425",".333","91","9.3","-62.1","8.7","14.7"
"2008","Padres","2343","6244","154","637","615","36","8.3 %","20.2 %",".140",".294",".250",".317",".390",".311","92","-4.2","-63.7","8.0","14.6"
"2013","Rockies","2330","6152","159","706","673","112","6.9 %","19.6 %",".149",".317",".270",".323",".418",".324","87","18.2","-71.9","24.5","14.6"
"2012","Mets","2420","6091","139","650","625","79","8.3 %","20.5 %",".137",".298",".249",".316",".386",".306","94","-2.0","-47.6","-3.3","14.5"
"2011","Cubs","2373","6130","148","654","610","69","6.9 %","19.6 %",".144",".301",".256",".314",".401",".314","91","-17.7","-80.2","25.6","14.4"
"2010","Cubs","2307","6140","149","685","658","55","7.8 %","20.1 %",".145",".304",".257",".320",".401",".318","90","-10.3","-81.7","29.3","14.4"
"2008","Athletics","2282","6138","125","646","610","88","9.4 %","20.0 %",".127",".289",".242",".318",".369",".306","86","12.4","-92.6","26.2","14.3"
"2007","Royals","2294","6140","102","706","660","78","7.0 %","17.4 %",".126",".305",".261",".322",".388",".312","85","-1.6","-121.2","55.1","14.3"
"2004","Rockies","2351","6333","202","833","795","44","9.0 %","18.6 %",".180",".314",".275",".345",".455",".344","93","-4.9","-64.7","-3.7","14.1"
"2007","Twins","2259","6161","118","718","671","112","8.3 %","13.6 %",".127",".291",".264",".330",".391",".317","91","2.6","-68.7","-0.4","14.1"
"2008","Dodgers","2376","6194","137","700","659","126","8.8 %","16.7 %",".134",".301",".264",".333",".399",".321","93","5.1","-51.1","-9.8","13.9"
"2011","Indians","2287","6142","154","704","671","89","8.0 %","20.7 %",".146",".297",".250",".317",".396",".314","99","0.4","-8.5","-58.2","13.9"
"2003","Indians","2241","6188","158","699","660","86","7.5 %","17.2 %",".148",".286",".254",".316",".401",".313","90","-7.5","-83.9","10.1","13.8"
"2006","Cubs","2399","6147","166","716","677","121","6.4 %","15.1 %",".154",".294",".268",".319",".422",".320","84","-1.0","-128.9","65.3","13.7"
"2005","Mariners","2258","6095","130","699","657","102","7.6 %","16.2 %",".136",".289",".256",".317",".391",".309","90","7.1","-66.3","-3.2","13.7"
"2010","Dodgers","2310","6140","120","667","621","92","8.7 %","19.3 %",".127",".299",".252",".322",".379",".309","92","1.3","-60.6","1.1","13.6"
"2005","Dodgers","2351","6134","149","685","653","58","8.8 %","17.8 %",".142",".290",".253",".326",".395",".317","91","-21.4","-93.4","29.0","13.6"
"2011","Rockies","2348","6275","163","735","697","118","8.8 %","19.1 %",".152",".300",".258",".329",".410",".324","88","-1.8","-92.5","25.6","13.5"
"2002","Orioles","2217","6096","165","667","636","110","7.4 %","16.3 %",".157",".271",".246",".309",".403",".311","90","-1.2","-77.5","5.0","13.5"
"2006","Rockies","2306","6348","157","813","761","85","8.8 %","17.5 %",".163",".310",".270",".341",".433",".333","87","-2.7","-111.8","39.3","13.5"
"2010","Angels","2236","6089","155","681","656","104","7.7 %","17.6 %",".142",".281",".248",".311",".390",".310","94","-8.8","-54.2","-23.7","13.5"
"2005","Pirates","2289","6221","139","680","656","73","7.6 %","17.6 %",".141",".297",".259",".322",".400",".315","89","-5.0","-91.3","22.8","13.4"
"2012","Royals","2249","6149","131","676","643","132","6.6 %","16.8 %",".135",".302",".265",".317",".400",".311","94","-9.3","-52.7","-24.7","13.3"
"2002","Expos","2262","6250","162","735","695","118","9.2 %","17.7 %",".157",".298",".261",".334",".418",".326","93","-0.3","-58.5","-12.7","13.2"
"2007","Nationals","2528","6201","123","673","646","69","8.5 %","18.2 %",".134",".300",".256",".325",".390",".315","88","-10.8","-108.6","39.1","13.2"
"2005","Twins","2235","6192","134","688","644","102","7.8 %","15.8 %",".132",".291",".259",".323",".391",".312","89","-14.5","-96.1","18.6","13.2"
"2014","Phillies","2282","6198","125","619","584","109","7.1 %","21.1 %",".121",".292",".242",".302",".363",".295","86","10.8","-85.3","21.0","13.1"
"2002","Padres","2372","6178","136","662","627","71","8.9 %","17.2 %",".129",".288",".253",".321",".381",".309","91","-12.4","-81.8","12.0","13.1"
"2009","Astros","2340","6040","142","643","616","113","7.4 %","16.4 %",".140",".293",".260",".319",".400",".315","89","-18.0","-99.0","36.0","13.1"
"2011","Astros","2377","6150","95","615","579","118","6.5 %","18.9 %",".116",".308",".258",".311",".374",".301","88","-0.6","-89.1","21.7","13.1"
"2005","Giants","2360","6077","128","649","617","71","7.1 %","14.8 %",".135",".290",".261",".319",".396",".312","86","-13.9","-121.6","53.1","13.0"
"2012","Orioles","2282","6160","214","712","677","58","7.8 %","21.3 %",".170",".286",".247",".311",".417",".317","96","-18.1","-45.0","-37.8","12.7"
"2014","Indians","2391","6222","142","669","644","104","8.1 %","19.1 %",".136",".296",".253",".317",".389",".313","98","9.9","-1.7","-82.4","12.7"
"2003","Athletics","2197","6189","176","768","742","48","9.0 %","14.5 %",".162",".273",".254",".327",".417",".322","95","5.2","-35.5","-49.1","12.7"
"2004","Blue Jays","2194","6178","145","719","680","58","8.3 %","17.5 %",".143",".298",".260",".328",".403",".320","88","-9.3","-107.0","26.4","12.7"
"2002","Pirates","2343","6053","142","641","611","86","8.9 %","18.3 %",".137",".281",".244",".319",".380",".308","84","7.9","-114.1","43.3","12.6"
"2008","Pirates","2340","6278","153","735","705","57","7.6 %","16.5 %",".145",".290",".258",".320",".403",".317","89","0.1","-89.2","11.3","12.5"
"2003","Royals","2217","6239","162","836","781","120","7.6 %","14.8 %",".153",".301",".274",".336",".427",".332","95","7.3","-30.2","-57.8","12.5"
"2007","Pirates","2304","6214","148","724","694","68","7.5 %","18.3 %",".149",".303",".263",".325",".411",".322","90","-10.4","-94.0","16.8","12.5"
"2005","Diamondbacks","2370","6327","191","696","670","67","9.6 %","17.3 %",".165",".285",".256",".332",".421",".328","91","1.3","-71.2","-10.7","12.4"
"2007","Astros","2409","6324","167","723","700","65","8.6 %","16.5 %",".152",".291",".260",".330",".412",".325","92","-17.9","-86.6","5.3","12.4"
"2010","Indians","2255","6165","128","646","601","91","8.8 %","19.2 %",".130",".293",".248",".322",".378",".311","94","1.3","-40.7","-51.9","12.2"
"2012","Mariners","2236","6057","149","619","584","104","7.7 %","20.8 %",".135",".276",".234",".296",".369",".291","87","-1.3","-91.0","5.1","12.0"
"2014","White Sox","2285","6077","155","660","625","85","6.9 %","22.4 %",".146",".306",".253",".310",".398",".312","99","-14.2","-24.6","-61.7","12.0"
"2012","Blue Jays","2289","6094","198","716","677","123","7.8 %","20.5 %",".161",".281",".245",".309",".407",".311","92","2.5","-55.8","-32.0","12.0"
"2013","Yankees","2253","6044","144","650","614","115","7.7 %","20.1 %",".133",".285",".242",".307",".376",".301","86","5.3","-88.3","-0.2","11.9"
"2012","Cubs","2341","5967","137","613","570","94","7.5 %","20.7 %",".138",".286",".240",".302",".378",".297","81","-5.8","-138.7","64.6","11.7"
"2002","Devil Rays","2007","6198","133","673","640","102","7.4 %","18.0 %",".137",".293",".253",".314",".390",".309","87","6.6","-95.0","-0.9","11.5"
"2014","Astros","2229","6055","163","629","596","122","8.2 %","23.8 %",".141",".298",".242",".309",".383",".308","98","4.2","-7.5","-82.4","11.5"
"2004","Mets","2390","6209","185","684","658","107","8.2 %","18.7 %",".160",".282",".249",".317",".409",".314","88","-2.0","-101.6","8.5","11.3"
"2014","Rangers","2264","6026","111","637","597","105","6.9 %","19.3 %",".119",".305",".256",".314",".375",".305","90","-1.4","-66.4","-24.5","11.3"
"2012","Marlins","2269","6057","137","609","576","149","8.0 %","20.3 %",".138",".289",".244",".308",".382",".300","87","3.7","-91.7","8.9","11.0"
"2006","Diamondbacks","2282","6330","160","773","743","76","8.0 %","15.2 %",".157",".294",".267",".331",".424",".326","87","-6.6","-112.3","12.3","10.8"
"2007","Giants","2371","6213","131","683","641","119","8.6 %","14.6 %",".133",".281",".254",".322",".387",".310","81","-4.7","-158.1","60.6","10.5"
"2008","Giants","2382","6145","94","640","606","108","7.4 %","17.0 %",".120",".305",".262",".321",".382",".309","83","-15.4","-149.4","55.5","10.5"
"2010","Royals","2190","6209","121","676","640","115","7.6 %","14.6 %",".126",".305",".274",".331",".399",".323","98","-28.4","-42.1","-69.5","10.4"
"2002","Indians","2236","6099","192","739","706","52","8.9 %","16.4 %",".163",".271",".249",".321",".412",".320","95","-12.3","-53.6","-50.4","10.4"
"2005","Rockies","2302","6240","150","741","704","65","8.2 %","17.7 %",".144",".307",".267",".333",".411",".325","85","-10.7","-130.7","30.5","10.3"
"2003","Reds","2334","6211","182","694","669","80","8.4 %","21.3 %",".150",".289",".245",".318",".395",".312","84","10.4","-120.8","21.8","10.3"
"2014","Diamondbacks","2274","6089","118","615","573","86","6.5 %","19.1 %",".127",".293",".248",".302",".376",".300","83","1.0","-113.3","26.4","10.3"
"2012","Indians","2339","6195","136","667","635","110","9.0 %","17.5 %",".131",".288",".251",".324",".381",".310","97","-13.3","-37.4","-70.0","10.3"
"2006","Devil Rays","2247","6041","190","689","650","134","7.3 %","18.3 %",".165",".285",".255",".314",".420",".316","89","1.9","-84.4","-19.0","10.3"
"2011","Orioles","2262","6156","191","708","684","81","7.3 %","18.2 %",".156",".288",".257",".316",".413",".320","96","-11.3","-39.1","-63.0","10.2"
"2003","Dodgers","2292","6036","124","574","544","80","6.7 %","16.3 %",".125",".275",".243",".303",".368",".294","78","-10.2","-178.7","84.4","10.2"
"2008","Reds","2392","6188","187","704","677","85","9.0 %","18.2 %",".161",".278",".247",".321",".408",".319","87","1.1","-103.3","5.0","10.2"
"2009","Orioles","2281","6233","160","741","708","76","8.3 %","16.3 %",".147",".300",".268",".332",".415",".328","93","-20.1","-74.3","-37.1","10.2"
"2008","Rockies","2310","6312","160","747","714","141","9.0 %","19.2 %",".152",".308",".263",".336",".415",".330","88","15.2","-80.7","-22.6","10.1"
"2007","Diamondbacks","2305","6101","171","712","687","109","8.7 %","18.2 %",".163",".282",".250",".321",".413",".320","82","8.8","-132.9","34.1","10.0"
"2002","Brewers","2329","6083","139","627","597","94","8.2 %","18.5 %",".137",".294",".253",".320",".390",".312","86","-26.4","-131.8","33.0","9.9"
"2011","Pirates","2444","6064","107","610","580","108","8.1 %","21.6 %",".123",".301",".244",".309",".368",".299","87","-15.2","-103.1","7.8","9.8"
"2011","White Sox","2206","6159","154","654","625","81","7.7 %","16.1 %",".136",".280",".252",".319",".388",".312","90","-9.9","-80.0","-26.0","9.8"
"2004","Brewers","2255","6195","135","634","601","138","8.7 %","21.2 %",".139",".300",".248",".321",".387",".309","82","1.8","-144.7","36.7","9.8"
"2002","Rockies","2393","6165","152","778","726","103","8.1 %","16.9 %",".149",".311",".274",".337",".423",".331","82","-0.4","-138.4","34.1","9.6"
"2003","Expos","2275","6116","144","711","682","100","8.5 %","16.2 %",".143",".290",".258",".326",".401",".316","85","-4.6","-124.7","21.3","9.6"
"2003","Brewers","2293","6270","196","714","685","99","8.7 %","19.5 %",".163",".294",".256",".329",".419",".325","93","-27.1","-81.9","-26.6","9.6"
"2012","Rockies","2429","6183","166","758","716","100","7.3 %","19.6 %",".163",".321",".274",".330",".436",".331","90","3.1","-73.5","-30.1","9.3"
"2008","Diamondbacks","2280","6156","159","720","683","58","9.5 %","20.9 %",".164",".299",".251",".327",".415",".324","88","12.1","-83.9","-23.6","9.2"
"2013","Twins","2332","6212","151","614","590","52","8.6 %","23.0 %",".138",".298",".242",".312",".380",".307","91","1.3","-66.0","-54.9","9.0"
"2008","Mariners","2296","6176","124","671","631","90","6.8 %","14.4 %",".124",".294",".265",".318",".389",".310","90","-8.9","-86.1","-36.2","8.9"
"2008","Nationals","2397","6192","117","641","608","81","8.6 %","17.7 %",".122",".292",".251",".323",".373",".310","84","-16.8","-145.4","29.8","8.5"
"2014","Padres","2362","5905","109","535","500","91","7.9 %","21.9 %",".115",".277",".226",".292",".342",".283","81","-8.4","-135.4","37.2","8.5"
"2011","Athletics","2229","6104","114","645","612","117","8.3 %","17.9 %",".125",".283",".244",".311",".369",".301","89","-6.5","-82.2","-35.8","8.4"
"2004","Pirates","2330","6115","142","680","648","63","6.8 %","17.4 %",".141",".298",".260",".321",".401",".314","85","-8.6","-128.7","2.6","7.8"
"2003","Diamondbacks","2319","6261","152","717","696","76","8.5 %","16.1 %",".153",".295",".263",".330",".417",".323","86","-10.8","-119.9","-6.9","7.7"
"2009","White Sox","2241","6132","184","724","695","113","8.7 %","16.7 %",".153",".285",".258",".329",".411",".326","91","-13.0","-84.0","-48.2","7.7"
"2006","Pirates","2325","6218","141","691","656","68","7.4 %","19.3 %",".134",".310",".263",".327",".397",".315","86","-2.2","-115.0","-13.0","7.7"
"2010","Orioles","2240","6109","133","613","577","76","6.9 %","17.3 %",".127",".296",".259",".316",".386",".310","87","-21.0","-111.8","-23.9","7.6"
"2013","Mariners","2237","6172","188","624","597","49","8.6 %","21.9 %",".152",".279",".237",".306",".390",".307","95","-6.6","-40.4","-93.3","7.5"
"2002","Royals","2248","6206","140","737","695","140","8.4 %","14.8 %",".143",".282",".256",".323",".398",".316","85","10.9","-104.1","-35.1","7.2"
"2008","Royals","2250","6118","120","691","650","79","6.4 %","16.4 %",".128",".307",".269",".320",".397",".315","87","-9.5","-109.1","-29.7","7.0"
"2013","Phillies","2310","6014","140","610","578","73","6.9 %","20.0 %",".135",".293",".248",".306",".384",".303","89","-7.7","-82.2","-32.8","6.8"
"2011","Mariners","2090","5972","109","556","534","125","7.3 %","21.4 %",".115",".283",".233",".292",".348",".283","80","11.9","-124.4","-14.2","5.7"
"2004","Expos","2289","6138","151","635","605","109","8.1 %","15.1 %",".143",".273",".249",".313",".392",".306","77","-0.7","-184.6","36.0","5.7"
"2010","Astros","2358","6005","108","611","577","100","6.9 %","17.1 %",".115",".285",".247",".303",".362",".295","79","-6.4","-156.6","23.7","5.6"
"2003","Mets","2361","6008","124","642","607","70","8.1 %","17.2 %",".128",".282",".247",".314",".374",".302","80","-4.4","-155.7","10.6","5.1"
"2012","Astros","2421","6014","146","583","545","105","7.7 %","22.7 %",".135",".288",".236",".302",".371",".296","82","-16.4","-143.9","4.2","4.9"
"2010","Mariners","2104","5989","101","513","485","142","7.7 %","19.8 %",".104",".282",".236",".298",".339",".285","79","-1.0","-148.8","-12.3","4.5"
"2013","White Sox","2279","6077","148","598","574","105","6.8 %","19.9 %",".129",".291",".249",".302",".378",".299","85","-13.8","-118.6","-43.1","4.1"
"2010","Pirates","2327","5974","126","587","570","87","7.8 %","20.2 %",".131",".288",".242",".304",".373",".300","84","-5.8","-119.0","-30.8","3.7"
"2011","Twins","2269","6020","103","619","572","92","7.3 %","17.4 %",".113",".288",".247",".306",".360",".296","82","-6.5","-133.4","-29.4","3.3"
"2007","White Sox","2257","6103","190","693","667","78","8.7 %","18.8 %",".158",".278",".246",".318",".404",".316","86","-15.7","-125.7","-55.7","2.9"
"2005","Royals","2259","6086","126","701","653","53","7.0 %","16.6 %",".134",".298",".263",".320",".396",".313","87","6.3","-91.5","-87.3","2.7"
"2009","Royals","2247","6103","144","686","657","88","7.5 %","17.9 %",".146",".298",".259",".318",".405",".318","88","-18.9","-110.3","-78.6","2.0"
"2013","Astros","2266","6020","148","610","566","110","7.1 %","25.5 %",".136",".304",".240",".299",".375",".298","85","-9.1","-112.9","-76.2","1.0"
"2004","Royals","2169","6153","150","720","675","67","7.5 %","17.2 %",".139",".293",".259",".322",".397",".314","82","-9.3","-152.8","-47.4","1.0"
"2013","Marlins","2244","6021","95","513","485","78","7.2 %","20.5 %",".104",".280",".231",".293",".335",".279","74","-4.6","-178.3","-1.5","-0.1"
"2004","Diamondbacks","2295","6114","135","615","582","53","7.2 %","16.7 %",".140",".286",".253",".310",".393",".305","74","-7.7","-212.2","2.3","-0.4"
"2002","Tigers","2096","5920","124","575","546","65","6.1 %","17.5 %",".132",".283",".248",".300",".379",".297","82","-9.4","-143.5","-68.1","-1.0"
"2003","Tigers","2278","6071","153","591","553","98","7.3 %","18.1 %",".135",".272",".240",".300",".375",".296","80","-6.5","-162.3","-59.2","-1.2"
