"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"2002","Blue Jays","78","84","41","623","162","1438.1","6.20","3.69","1.11",".294","69.7 %","43.9 %","10.9 %","4.81","4.56","4.52","12.2"
"2011","Rockies","73","89","41","679","162","1447.2","6.95","3.25","1.09",".298","70.6 %","46.1 %","11.6 %","4.44","4.24","3.98","12.2"
"2008","Padres","63","99","30","653","162","1458.1","6.79","3.46","1.02",".294","70.9 %","42.4 %","10.1 %","4.41","4.33","4.33","12.2"
"2012","Marlins","69","93","38","645","162","1440.2","6.95","3.09","0.83",".300","70.3 %","45.0 %","9.2 %","4.10","3.89","4.17","12.2"
"2007","Royals","69","93","36","610","162","1437.1","6.22","3.26","1.05",".304","71.0 %","41.1 %","9.3 %","4.50","4.55","4.61","12.1"
"2010","Nationals","69","93","37","656","162","1435.0","6.70","3.21","0.95",".297","70.8 %","44.5 %","9.4 %","4.13","4.12","4.13","12.1"
"2003","Indians","68","94","34","590","162","1459.1","5.82","3.09","1.10",".284","70.6 %","44.0 %","11.7 %","4.21","4.49","4.43","12.1"
"2014","Red Sox","71","91","36","655","162","1465.2","7.45","2.96","0.95",".301","71.8 %","43.6 %","9.9 %","4.01","3.93","3.87","12.1"
"2005","Diamondbacks","77","85","45","620","162","1456.1","6.41","3.32","1.19",".303","69.3 %","45.4 %","12.9 %","4.87","4.55","4.25","11.9"
"2002","Marlins","79","83","36","623","162","1456.1","6.82","3.90","0.93",".295","71.4 %","43.1 %","9.6 %","4.36","4.21","4.36","11.8"
"2007","Astros","73","89","38","638","162","1464.2","6.81","3.13","1.27",".300","71.7 %","44.0 %","11.5 %","4.70","4.73","4.44","11.8"
"2003","Orioles","71","91","41","588","163","1449.2","6.09","3.27","1.23",".301","71.6 %","42.4 %","12.4 %","4.76","4.71","4.54","11.8"
"2004","Blue Jays","67","94","37","592","161","1421.0","6.05","3.85","1.15",".296","70.3 %","44.7 %","11.2 %","4.93","4.77","4.73","11.7"
"2009","Astros","74","88","39","659","162","1430.0","7.20","3.44","1.11",".311","72.0 %","45.6 %","11.5 %","4.54","4.35","4.16","11.7"
"2005","Giants","75","87","46","673","162","1444.1","6.06","3.69","0.94",".289","71.6 %","42.2 %","9.0 %","4.35","4.35","4.59","11.7"
"2014","Blue Jays","83","79","45","611","162","1443.0","7.48","3.06","0.94",".294","72.7 %","42.9 %","9.4 %","4.00","3.97","3.99","11.6"
"2014","Giants","88","74","46","637","162","1449.0","7.52","2.42","0.83",".282","72.7 %","45.9 %","9.4 %","3.50","3.58","3.59","11.5"
"2008","Braves","72","90","26","707","162","1440.2","6.72","3.66","0.97",".293","69.7 %","48.3 %","11.4 %","4.47","4.35","4.20","11.5"
"2011","Cubs","71","91","40","657","162","1434.1","7.68","3.64","1.02",".301","71.3 %","43.0 %","10.3 %","4.34","4.11","4.02","11.4"
"2003","Angels","77","85","39","537","162","1431.1","6.16","3.06","1.19",".283","72.6 %","39.4 %","11.1 %","4.28","4.57","4.58","11.3"
"2002","Reds","78","84","42","624","162","1453.2","6.07","3.41","1.07",".293","71.5 %","45.8 %","11.5 %","4.29","4.41","4.30","11.3"
"2008","Astros","86","75","48","649","161","1425.1","6.91","3.11","1.24",".293","72.8 %","43.3 %","12.1 %","4.39","4.53","4.24","11.3"
"2005","Dodgers","71","91","40","620","162","1427.1","6.33","2.97","1.15",".285","70.8 %","45.9 %","12.0 %","4.38","4.40","4.20","11.3"
"2009","Padres","75","87","45","689","162","1450.2","7.36","3.74","1.04",".294","70.9 %","43.5 %","10.1 %","4.37","4.30","4.29","11.3"
"2014","Twins","70","92","38","653","162","1435.0","6.47","2.56","0.92",".315","68.9 %","41.8 %","8.6 %","4.58","3.97","4.12","11.2"
"2002","Tigers","55","106","33","533","161","1414.0","5.05","2.95","1.04",".302","66.4 %","42.3 %","9.3 %","4.94","4.45","4.67","11.2"
"2010","Brewers","77","85","35","657","162","1439.0","7.87","3.64","1.08",".308","70.0 %","41.8 %","10.3 %","4.59","4.21","4.07","11.2"
"2010","Orioles","66","96","35","616","162","1436.1","6.31","3.26","1.17",".294","71.3 %","42.1 %","10.2 %","4.59","4.57","4.44","11.1"
"2007","Tigers","88","74","44","605","162","1447.1","6.51","3.52","1.08",".295","70.7 %","44.2 %","10.2 %","4.58","4.67","4.59","11.1"
"2008","Cardinals","86","76","42","668","162","1454.0","5.92","3.07","1.01",".295","72.9 %","45.3 %","10.3 %","4.20","4.40","4.37","11.0"
"2007","Orioles","69","93","30","652","162","1438.2","6.80","4.35","1.01",".302","68.4 %","44.9 %","9.7 %","5.19","4.78","4.78","11.0"
"2014","White Sox","73","89","36","615","162","1441.0","7.20","3.48","0.87",".306","70.4 %","46.1 %","9.4 %","4.30","4.10","4.11","11.0"
"2006","Braves","79","83","38","684","162","1441.1","6.55","3.57","1.14",".300","71.1 %","45.0 %","11.6 %","4.60","4.65","4.53","11.0"
"2014","Astros","70","92","31","600","162","1438.2","7.11","3.03","0.87",".299","70.3 %","46.4 %","9.6 %","4.14","3.93","3.91","10.9"
"2007","Pirates","68","94","32","657","162","1447.2","6.20","3.22","1.08",".315","69.5 %","44.1 %","10.0 %","4.94","4.66","4.60","10.9"
"2004","Tigers","72","90","35","594","162","1439.2","6.22","3.31","1.19",".299","68.9 %","45.9 %","11.7 %","4.93","4.60","4.48","10.9"
"2009","Reds","78","84","41","640","162","1458.1","6.60","3.56","1.16",".283","74.4 %","42.1 %","10.9 %","4.18","4.63","4.50","10.7"
"2013","Orioles","85","77","57","635","162","1453.0","7.24","2.93","1.25",".291","74.6 %","42.2 %","12.9 %","4.20","4.33","3.99","10.7"
"2004","Diamondbacks","51","111","33","633","162","1436.0","7.23","4.19","1.23",".297","68.0 %","46.1 %","13.5 %","4.98","4.78","4.43","10.6"
"2014","Diamondbacks","64","98","35","650","162","1444.1","7.96","2.92","0.96",".312","70.3 %","46.1 %","11.1 %","4.26","3.83","3.63","10.4"
"2006","Cubs","66","96","29","704","162","1439.0","7.82","4.30","1.31",".286","70.9 %","41.6 %","12.8 %","4.74","4.88","4.58","10.4"
"2012","Pirates","79","83","45","645","162","1433.1","7.48","3.08","0.96",".286","72.6 %","46.6 %","11.0 %","3.91","3.94","3.97","10.3"
"2011","Mets","77","85","43","676","162","1448.0","7.00","3.19","0.91",".299","71.2 %","46.1 %","9.4 %","4.19","4.00","4.04","10.3"
"2011","Blue Jays","81","81","33","636","162","1458.2","7.21","3.33","1.10",".290","71.6 %","44.4 %","11.3 %","4.33","4.29","4.06","10.3"
"2005","Rockies","67","95","37","621","162","1418.2","6.22","3.83","1.11",".314","69.8 %","44.2 %","11.3 %","5.14","4.70","4.59","10.2"
"2014","Pirates","88","74","48","614","162","1456.1","7.59","3.08","0.79",".290","74.2 %","50.5 %","10.3 %","3.49","3.80","3.71","10.1"
"2013","Brewers","74","88","40","663","162","1442.2","7.02","2.91","1.09",".286","73.5 %","44.4 %","11.9 %","3.84","4.12","3.94","10.0"
"2007","Phillies","89","73","42","660","162","1458.1","6.48","3.44","1.22",".301","71.5 %","43.5 %","11.9 %","4.76","4.86","4.52","9.9"
"2013","Blue Jays","74","88","39","649","162","1452.0","7.49","3.10","1.21",".293","72.3 %","44.0 %","12.3 %","4.26","4.30","4.04","9.8"
"2007","Cardinals","78","84","34","678","162","1435.2","5.92","3.19","1.05",".293","68.1 %","43.5 %","9.6 %","4.67","4.66","4.67","9.8"
"2003","Royals","83","79","36","570","162","1438.2","5.41","3.54","1.19",".295","68.9 %","41.6 %","11.0 %","5.07","4.86","4.90","9.7"
"2005","Tigers","71","91","37","587","162","1435.2","5.69","2.89","1.21",".290","70.4 %","45.7 %","11.9 %","4.52","4.57","4.38","9.7"
"2004","Expos","67","95","31","624","162","1447.0","6.42","3.62","1.19",".291","73.2 %","44.6 %","12.1 %","4.33","4.71","4.54","9.7"
"2004","Indians","80","82","32","641","162","1466.2","6.84","3.55","1.23",".301","69.9 %","43.8 %","12.3 %","4.82","4.62","4.43","9.4"
"2011","Royals","71","91","37","582","162","1451.1","6.70","3.45","1.01",".299","71.5 %","43.9 %","9.9 %","4.45","4.27","4.24","9.4"
"2013","Diamondbacks","81","81","38","689","162","1495.0","7.33","2.92","1.06",".292","74.5 %","46.0 %","12.2 %","3.92","4.04","3.83","9.4"
"2013","Angels","78","84","41","658","162","1457.2","7.41","3.29","1.03",".300","72.3 %","42.1 %","10.4 %","4.24","4.08","4.10","9.4"
"2005","Mariners","69","93","39","595","162","1427.2","5.62","3.13","1.13",".287","72.0 %","41.4 %","9.9 %","4.49","4.56","4.68","9.3"
"2013","Giants","76","86","41","686","162","1447.1","7.81","3.24","0.90",".295","72.1 %","42.1 %","9.9 %","4.00","3.80","3.89","9.2"
"2007","Devil Rays","66","96","28","645","162","1429.2","7.52","3.58","1.25",".331","66.8 %","41.8 %","11.1 %","5.53","4.70","4.47","9.2"
"2012","Astros","55","107","31","703","162","1423.1","7.40","3.41","1.09",".306","70.0 %","47.9 %","12.2 %","4.57","4.27","4.15","9.2"
"2007","Rangers","75","87","42","629","162","1430.0","6.14","4.20","0.98",".303","69.4 %","46.5 %","9.7 %","4.76","4.83","4.82","9.1"
"2003","Pirates","75","87","44","619","162","1444.1","5.77","3.13","1.11",".292","70.0 %","45.2 %","11.8 %","4.65","4.52","4.44","9.1"
"2004","Royals","58","104","25","571","162","1420.1","5.62","3.28","1.32",".307","68.0 %","41.0 %","11.3 %","5.16","4.92","4.85","9.0"
"2013","Cubs","66","96","39","651","162","1448.0","7.36","3.36","0.99",".279","72.8 %","42.4 %","10.3 %","4.00","4.10","4.13","9.0"
"2013","Twins","66","96","40","673","162","1450.1","6.11","2.84","1.04",".309","70.2 %","43.7 %","10.2 %","4.55","4.23","4.28","9.0"
"2002","Padres","66","96","40","622","162","1436.1","6.94","3.65","1.11",".306","70.5 %","44.4 %","11.8 %","4.66","4.37","4.22","8.9"
"2012","Angels","89","73","38","606","162","1433.1","7.26","3.03","1.17",".277","72.6 %","43.9 %","12.1 %","4.02","4.26","4.15","8.9"
"2004","Mariners","63","99","28","576","162","1459.1","6.39","3.55","1.31",".286","71.5 %","39.3 %","11.3 %","4.76","4.85","4.79","8.9"
"2003","Rangers","71","91","43","656","162","1433.1","6.34","3.79","1.31",".313","66.1 %","40.9 %","13.9 %","5.69","4.90","4.54","8.9"
"2006","Devil Rays","61","101","33","606","162","1420.1","6.20","3.84","1.14",".312","70.1 %","42.5 %","10.3 %","4.97","4.83","4.91","8.8"
"2002","Orioles","67","95","31","569","162","1450.2","6.00","3.41","1.29",".286","73.3 %","45.5 %","13.2 %","4.46","4.74","4.37","8.8"
"2013","Padres","76","86","40","650","162","1455.0","7.24","3.25","0.96",".292","72.5 %","45.8 %","10.8 %","3.98","4.00","3.96","8.8"
"2003","Rockies","74","88","34","662","162","1420.0","5.49","3.50","1.27",".307","69.2 %","43.7 %","12.9 %","5.24","4.99","4.74","8.8"
"2012","Indians","68","94","43","656","162","1442.0","6.78","3.39","1.09",".300","67.6 %","45.9 %","11.4 %","4.79","4.40","4.39","8.8"
"2009","Pirates","62","99","28","617","161","1418.1","5.83","3.57","0.96",".300","70.6 %","43.8 %","9.1 %","4.59","4.48","4.63","8.7"
"2009","Mets","70","92","39","673","162","1426.0","6.51","3.89","1.00",".292","71.8 %","42.5 %","9.1 %","4.46","4.50","4.66","8.6"
"2007","Marlins","71","91","40","722","162","1443.2","7.12","4.12","1.10",".321","69.4 %","41.7 %","10.2 %","4.96","4.77","4.69","8.3"
"2003","Mets","66","95","38","573","161","1413.1","5.78","3.67","1.07",".295","72.5 %","42.1 %","10.1 %","4.50","4.61","4.78","8.3"
"2014","Rangers","67","95","33","638","162","1426.1","7.00","3.19","1.01",".310","70.4 %","39.5 %","9.3 %","4.49","4.22","4.26","8.2"
"2008","Nationals","59","102","28","678","161","1434.0","6.67","3.69","1.19",".296","70.1 %","42.4 %","11.6 %","4.66","4.71","4.49","8.2"
"2010","Royals","67","95","44","603","162","1436.2","6.48","3.45","1.10",".304","68.6 %","42.5 %","9.8 %","4.97","4.48","4.41","8.2"
"2012","Padres","76","86","43","691","162","1434.2","7.56","3.38","1.02",".284","71.8 %","47.5 %","11.7 %","4.01","4.11","4.05","8.0"
"2011","Twins","63","99","32","619","162","1421.2","5.95","3.04","1.02",".307","69.1 %","44.0 %","9.5 %","4.60","4.30","4.33","8.0"
"2009","Indians","65","97","25","607","162","1434.0","6.19","3.75","1.15",".305","68.9 %","43.1 %","10.3 %","5.07","4.73","4.69","7.9"
"2010","Indians","69","93","34","632","162","1433.0","6.07","3.59","0.92",".297","71.4 %","47.9 %","9.3 %","4.30","4.40","4.41","7.8"
"2008","Mariners","61","101","36","631","162","1435.1","6.37","3.93","1.01",".307","70.7 %","44.7 %","9.8 %","4.73","4.59","4.64","7.8"
"2006","Cardinals","83","78","38","630","161","1429.2","6.11","3.17","1.21",".288","72.5 %","46.2 %","12.5 %","4.54","4.77","4.54","7.8"
"2009","Orioles","64","98","31","646","162","1429.0","5.88","3.44","1.37",".307","70.3 %","41.7 %","11.6 %","5.16","5.03","4.78","7.7"
"2002","Rangers","72","90","33","649","162","1439.2","6.44","4.18","1.21",".298","69.5 %","43.2 %","12.0 %","5.16","4.84","4.64","7.6"
"2006","Orioles","70","92","35","634","162","1419.0","6.44","3.89","1.37",".307","69.2 %","42.3 %","12.7 %","5.35","5.09","4.80","7.6"
"2002","Royals","62","100","30","583","162","1441.0","5.68","3.57","1.32",".296","69.0 %","43.1 %","12.6 %","5.21","4.91","4.62","7.5"
"2012","Blue Jays","73","89","29","657","162","1443.2","7.12","3.58","1.27",".291","72.0 %","46.5 %","14.1 %","4.64","4.66","4.30","7.4"
"2003","Cardinals","85","77","41","622","162","1463.2","5.96","3.12","1.29",".289","72.5 %","41.1 %","12.2 %","4.62","4.75","4.60","7.3"
"2011","Reds","79","83","39","663","162","1467.2","6.82","3.31","1.13",".282","73.7 %","44.8 %","11.5 %","4.16","4.37","4.11","7.3"
"2004","Rockies","68","94","36","635","162","1435.1","5.94","4.37","1.24",".311","69.6 %","45.3 %","12.3 %","5.54","5.13","4.93","7.3"
"2004","Devil Rays","70","91","35","562","161","1417.0","5.86","3.68","1.22",".283","69.2 %","40.9 %","10.7 %","4.82","4.93","4.97","7.2"
"2005","Pirates","67","95","35","613","162","1436.0","6.00","3.84","1.02",".290","71.6 %","43.9 %","10.3 %","4.44","4.57","4.60","7.2"
"2002","Pirates","72","89","47","619","161","1412.2","5.86","3.64","1.04",".290","72.8 %","47.8 %","12.0 %","4.24","4.49","4.32","7.1"
"2005","Reds","73","89","31","654","163","1433.0","6.00","3.09","1.38",".309","69.7 %","41.3 %","12.3 %","5.18","4.87","4.60","7.0"
"2012","Red Sox","69","93","35","651","162","1443.0","7.33","3.30","1.19",".296","69.6 %","46.4 %","13.2 %","4.72","4.41","4.16","7.0"
"2012","Rockies","64","98","36","737","162","1422.0","7.24","3.58","1.25",".325","68.9 %","45.2 %","13.7 %","5.22","4.59","4.28","7.0"
"2008","Rangers","79","83","36","619","162","1442.0","6.01","3.90","1.10",".315","65.7 %","43.2 %","10.2 %","5.37","4.83","4.82","6.8"
"2008","Tigers","74","88","34","602","162","1445.0","6.17","4.01","1.07",".302","69.4 %","42.0 %","9.7 %","4.91","4.79","4.86","6.8"
"2003","Brewers","68","94","44","622","162","1452.0","6.41","3.56","1.36",".300","70.5 %","40.9 %","12.5 %","5.03","4.88","4.68","6.8"
"2003","Reds","69","93","38","637","162","1446.1","5.80","3.67","1.30",".295","69.2 %","42.6 %","12.9 %","5.09","4.94","4.70","6.6"
"2002","Rockies","73","89","43","668","162","1426.2","5.80","3.67","1.42",".292","69.1 %","43.6 %","13.9 %","5.21","5.08","4.60","6.5"
"2011","Astros","56","106","25","665","162","1435.0","7.47","3.51","1.18",".301","70.8 %","43.2 %","12.0 %","4.51","4.35","4.02","6.3"
"2011","Orioles","69","93","32","640","162","1446.2","6.49","3.33","1.31",".302","69.5 %","43.1 %","12.1 %","4.92","4.67","4.29","6.3"
"2005","Royals","56","106","25","605","162","1413.1","5.88","3.69","1.13",".317","66.5 %","44.4 %","10.7 %","5.56","4.74","4.72","6.1"
"2011","Pirates","72","90","43","711","162","1449.1","6.40","3.32","0.94",".300","73.7 %","45.6 %","9.8 %","4.05","4.20","4.18","5.8"
"2014","Rockies","66","96","24","709","162","1431.0","6.75","3.34","1.09",".307","69.2 %","47.7 %","12.7 %","4.86","4.43","4.04","5.7"
"2004","Reds","76","86","47","659","162","1443.2","6.18","3.57","1.47",".296","69.5 %","42.5 %","13.7 %","5.21","5.10","4.67","5.6"
"2009","Brewers","80","82","44","674","162","1435.0","6.92","3.81","1.30",".295","71.9 %","42.6 %","12.0 %","4.84","4.84","4.54","5.4"
"2005","Devil Rays","67","95","43","563","162","1421.2","6.01","3.89","1.23",".302","66.4 %","39.3 %","10.6 %","5.40","4.89","4.90","4.9"
"2002","Brewers","56","106","32","608","162","1432.1","6.45","4.18","1.25",".289","71.7 %","42.1 %","12.4 %","4.76","4.86","4.61","4.8"
"2009","Nationals","59","103","33","694","162","1424.1","5.76","3.97","1.09",".296","67.9 %","44.4 %","10.3 %","5.02","4.82","4.80","4.8"
"2010","Pirates","57","105","31","679","162","1411.2","6.54","3.43","1.06",".311","67.4 %","44.0 %","10.0 %","5.00","4.45","4.35","4.7"
"2012","Cubs","61","101","28","655","162","1413.2","7.18","3.65","1.11",".291","71.3 %","43.2 %","11.8 %","4.51","4.46","4.39","4.6"
"2006","Nationals","71","91","32","679","162","1436.1","6.02","3.66","1.21",".292","69.0 %","39.6 %","10.2 %","5.03","4.97","5.08","4.6"
"2007","Nationals","73","89","46","750","162","1446.2","5.79","3.61","1.16",".286","72.0 %","39.7 %","9.6 %","4.58","4.92","4.93","4.4"
"2008","Pirates","67","95","34","659","162","1455.0","5.96","4.06","1.09",".311","69.5 %","44.0 %","10.8 %","5.10","4.84","4.74","4.4"
"2003","Padres","64","98","31","635","162","1431.1","6.86","3.84","1.31",".289","70.7 %","43.9 %","13.7 %","4.87","4.81","4.47","3.9"
"2008","Orioles","68","93","35","653","161","1422.0","5.84","4.35","1.16",".298","70.1 %","44.6 %","10.7 %","5.15","5.14","5.04","3.7"
"2012","Twins","66","96","35","661","162","1438.2","5.90","2.91","1.24",".294","68.9 %","45.7 %","12.7 %","4.77","4.66","4.46","3.7"
"2010","Diamondbacks","65","97","35","616","162","1432.0","6.72","3.44","1.32",".296","70.1 %","41.8 %","12.0 %","4.81","4.76","4.35","3.5"
"2003","Devil Rays","63","99","30","534","162","1436.2","5.49","4.00","1.23",".278","69.8 %","40.1 %","11.1 %","4.93","5.12","5.13","3.1"
"2003","Tigers","43","119","27","613","162","1438.2","4.78","3.48","1.22",".296","66.5 %","42.5 %","11.6 %","5.32","5.01","4.95","2.9"
"2002","Devil Rays","55","106","25","467","161","1440.1","5.78","3.87","1.34",".296","68.8 %","38.6 %","11.7 %","5.29","5.11","4.94","2.8"
"2013","Astros","51","111","32","610","162","1440.0","6.78","3.85","1.19",".303","70.0 %","43.9 %","11.8 %","4.79","4.67","4.48","2.0"
"2006","Royals","62","100","35","635","162","1426.1","5.70","4.02","1.34",".311","67.1 %","42.2 %","12.1 %","5.67","5.29","5.09","0.5"
